,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-07-07 02:02:59.999,1657152000000,1186.57,1189.44,1186.14,1188.84,1650.3991,1657152179999,1960319.77111,1531,880.623,1046020.327995,
2022-07-07 02:05:59.999,1657152180000,1188.85,1188.93,1180.11,1180.42,4842.9261,1657152359999,5731287.351634,3627,1380.1252,1633462.410324,
2022-07-07 02:08:59.999,1657152360000,1180.42,1183.46,1180.38,1182.79,3111.3904,1657152539999,3678664.594401,2907,719.4011,850402.526519,
2022-07-07 02:11:59.999,1657152540000,1182.79,1185.33,1182.54,1184.71,1125.632,1657152719999,1332147.249054,1379,580.3289,686718.95357,
2022-07-07 02:14:59.999,1657152720000,1184.71,1187.47,1184.38,1186.39,1536.629,1657152899999,1822330.290964,1526,790.2677,937113.118196,
2022-07-07 02:17:59.999,1657152900000,1186.38,1188.11,1185.91,1187.15,1470.6869,1657153079999,1745972.456917,1616,789.585,937353.888901,
2022-07-07 02:20:59.999,1657153080000,1187.15,1187.27,1183.47,1183.48,1237.489,1657153259999,1466663.386038,1272,646.522,766181.779425,
2022-07-07 02:23:59.999,1657153260000,1183.48,1185.69,1183.15,1183.43,1221.0949,1657153439999,1445948.489998,1133,614.1185,727192.800348,
2022-07-07 02:26:59.999,1657153440000,1183.43,1187.59,1183.42,1185.33,1779.9665,1657153619999,2111255.700026,1264,1081.8634,1282954.435749,
2022-07-07 02:29:59.999,1657153620000,1185.33,1186.23,1184.52,1184.68,850.6256,1657153799999,1008356.289519,896,386.1131,457643.917963,
2022-07-07 02:32:59.999,1657153800000,1184.68,1186.2,1183.77,1183.94,1198.9646,1657153979999,1420588.900593,1091,484.1659,573645.387003,
2022-07-07 02:35:59.999,1657153980000,1183.94,1184.69,1183.34,1183.78,1184.4175,1657154159999,1402234.38523,1076,460.284,544929.505624,
2022-07-07 02:38:59.999,1657154160000,1183.77,1187.09,1183.7,1186.58,1303.8625,1657154339999,1545845.093815,1127,798.6076,946822.200793,
2022-07-07 02:41:59.999,1657154340000,1186.58,1188.48,1185.51,1188.41,1251.9899,1657154519999,1485999.996615,1173,717.7542,852004.28331,
2022-07-07 02:44:59.999,1657154520000,1188.41,1188.64,1186.51,1186.68,910.5307,1657154699999,1081301.781423,893,488.945,580688.123587,
2022-07-07 02:47:59.999,1657154700000,1186.68,1189.81,1186.54,1187.77,1563.5833,1657154879999,1858311.699931,1287,966.2473,1148288.216864,
2022-07-07 02:50:59.999,1657154880000,1187.78,1188.36,1185.23,1186.46,858.8604,1657155059999,1019178.997099,955,398.7653,473194.669858,
2022-07-07 02:53:59.999,1657155060000,1186.46,1187.15,1183.95,1187.02,898.3117,1657155239999,1064977.648195,939,353.6235,419215.80202,
2022-07-07 02:56:59.999,1657155240000,1187.03,1187.57,1185.72,1186.44,1145.2898,1657155419999,1359137.264069,1029,392.9733,466254.392927,
2022-07-07 02:59:59.999,1657155420000,1186.44,1186.44,1184.46,1184.64,793.8081,1657155599999,940635.746459,738,351.0453,415953.862405,
2022-07-07 03:02:59.999,1657155600000,1184.64,1185.06,1180.81,1180.82,1659.5021,1657155779999,1962736.259823,1619,659.0038,779438.008403,
2022-07-07 03:05:59.999,1657155780000,1180.81,1182.94,1180.35,1182.18,1118.7977,1657155959999,1322094.335668,1242,603.1705,712715.173052,
2022-07-07 03:08:59.999,1657155960000,1182.17,1182.66,1178.99,1179.65,3635.7458,1657156139999,4291023.146245,2091,1376.4424,1623702.124906,
2022-07-07 03:11:59.999,1657156140000,1179.65,1181.11,1179.43,1179.9,1011.0759,1657156319999,1193407.897476,1015,404.1573,477030.08717,
2022-07-07 03:14:59.999,1657156320000,1179.9,1181.96,1179.12,1181.42,1166.5689,1657156499999,1377197.184971,1224,507.7423,599405.513634,
2022-07-07 03:17:59.999,1657156500000,1181.42,1186.16,1181.13,1183.77,4452.8897,1657156679999,5271050.575275,2258,2503.325,2962037.724482,
2022-07-07 03:20:59.999,1657156680000,1183.78,1184.4,1182.95,1183.54,1065.4114,1657156859999,1261060.808286,1075,605.5225,716696.611007,
2022-07-07 03:23:59.999,1657156860000,1183.54,1186.99,1182.87,1185.97,1378.6383,1657157039999,1633960.757358,1333,719.0382,852005.44471,
2022-07-07 03:26:59.999,1657157040000,1185.97,1186.97,1185.29,1186.29,695.1666,1657157219999,824779.931302,794,334.6661,397025.637602,
2022-07-07 03:29:59.999,1657157220000,1186.29,1186.67,1184.34,1185.38,1408.4553,1657157399999,1670205.620795,1166,548.3345,650285.250979,
2022-07-07 03:32:59.999,1657157400000,1185.38,1186.46,1183.55,1185.64,1296.0652,1657157579999,1535462.116296,1223,751.7675,890574.216141,
2022-07-07 03:35:59.999,1657157580000,1185.65,1186.71,1185.06,1185.42,1173.5012,1657157759999,1391443.423539,1165,506.5489,600559.830117,
2022-07-07 03:38:59.999,1657157760000,1185.43,1185.7,1184.24,1185.01,732.7224,1657157939999,868299.683738,936,327.045,387535.41186,
2022-07-07 03:41:59.999,1657157940000,1185.01,1185.02,1182.38,1182.57,1244.2221,1657158119999,1472813.858839,1133,454.5068,537990.513944,
2022-07-07 03:44:59.999,1657158120000,1182.57,1185.47,1181.83,1184.73,4938.9378,1657158299999,5849524.270209,1995,1889.6619,2237217.959214,
2022-07-07 03:47:59.999,1657158300000,1184.72,1187.0,1184.56,1185.81,2969.9536,1657158479999,3522951.150466,1444,863.9855,1024534.839385,
2022-07-07 03:50:59.999,1657158480000,1185.82,1187.9,1185.27,1187.79,849.5263,1657158659999,1008080.425757,1043,558.4797,662608.359902,
2022-07-07 03:53:59.999,1657158660000,1187.79,1189.22,1186.79,1186.95,1508.343,1657158839999,1791699.483637,1411,751.6993,892887.778191,
2022-07-07 03:56:59.999,1657158840000,1186.96,1187.34,1183.73,1184.47,1012.9759,1657159019999,1200874.193204,1167,463.2943,549095.787018,
2022-07-07 03:59:59.999,1657159020000,1184.47,1185.95,1184.47,1184.67,512.8578,1657159199999,607931.187079,714,241.2406,285944.619001,
2022-07-07 04:02:59.999,1657159200000,1184.66,1187.15,1182.15,1182.44,2329.521,1657159379999,2760940.306556,2031,1223.9562,1450379.407801,
2022-07-07 04:05:59.999,1657159380000,1182.43,1184.35,1181.37,1183.94,845.8674,1657159559999,1000634.74751,1076,420.4215,497272.366427,
2022-07-07 04:08:59.999,1657159560000,1183.95,1184.87,1181.61,1184.05,1467.3882,1657159739999,1736578.987385,1276,637.946,754975.743693,
